material_id,formula,model,score_status,energy_per_atom,score,score_type
wbm-1-10155,Cl6 Mn2,CHGNet,scored,-5.092705726623535,-5.092705726623535,raw_energy_per_atom_lower_is_more_stable
wbm-1-10155,Cl6 Mn2,MACE-MP,scored,-4.635004997253418,-4.635004997253418,raw_energy_per_atom_lower_is_more_stable
wbm-1-10156,Cl6 Mn2,CHGNet,scored,-5.073868751525879,-5.073868751525879,raw_energy_per_atom_lower_is_more_stable
wbm-1-10156,Cl6 Mn2,MACE-MP,scored,-4.6295976638793945,-4.6295976638793945,raw_energy_per_atom_lower_is_more_stable
wbm-1-10169,Cl6 Ni2,CHGNet,scored,-3.6358182430267334,-3.6358182430267334,raw_energy_per_atom_lower_is_more_stable
wbm-1-10169,Cl6 Ni2,MACE-MP,scored,-3.2597737312316895,-3.2597737312316895,raw_energy_per_atom_lower_is_more_stable
wbm-1-10175,Cl6 Pd2,CHGNet,scored,-3.558156967163086,-3.558156967163086,raw_energy_per_atom_lower_is_more_stable
wbm-1-10175,Cl6 Pd2,MACE-MP,scored,-3.1115164756774902,-3.1115164756774902,raw_energy_per_atom_lower_is_more_stable
wbm-1-10361,Ca2 Cl8,CHGNet,scored,-3.5159432888031006,-3.5159432888031006,raw_energy_per_atom_lower_is_more_stable
wbm-1-10361,Ca2 Cl8,MACE-MP,scored,-3.24267692565918,-3.24267692565918,raw_energy_per_atom_lower_is_more_stable
wbm-1-10364,Ce2 Cl8,CHGNet,scored,-5.045614719390869,-5.045614719390869,raw_energy_per_atom_lower_is_more_stable
wbm-1-10364,Ce2 Cl8,MACE-MP,scored,-4.5645099639892575,-4.5645099639892575,raw_energy_per_atom_lower_is_more_stable
wbm-1-10365,Ce2 Cl8,CHGNet,scored,-5.049884796142578,-5.049884796142578,raw_energy_per_atom_lower_is_more_stable
wbm-1-10365,Ce2 Cl8,MACE-MP,scored,-4.592742919921875,-4.592742919921875,raw_energy_per_atom_lower_is_more_stable
wbm-1-10366,Ce2 Cl8,CHGNet,scored,-5.066170692443848,-5.066170692443848,raw_energy_per_atom_lower_is_more_stable
wbm-1-10366,Ce2 Cl8,MACE-MP,scored,-4.602580261230469,-4.602580261230469,raw_energy_per_atom_lower_is_more_stable
wbm-1-10389,Cl8 Dy2,CHGNet,scored,-4.576977729797363,-4.576977729797363,raw_energy_per_atom_lower_is_more_stable
wbm-1-10389,Cl8 Dy2,MACE-MP,scored,-4.169954681396485,-4.169954681396485,raw_energy_per_atom_lower_is_more_stable
wbm-1-10444,Cl8 Lu2,CHGNet,scored,-4.4259467124938965,-4.4259467124938965,raw_energy_per_atom_lower_is_more_stable
wbm-1-10444,Cl8 Lu2,MACE-MP,scored,-4.015008544921875,-4.015008544921875,raw_energy_per_atom_lower_is_more_stable
wbm-1-10447,Cl8 Mn2,CHGNet,scored,-4.514529705047607,-4.514529705047607,raw_energy_per_atom_lower_is_more_stable
wbm-1-10447,Cl8 Mn2,MACE-MP,scored,-4.007363128662109,-4.007363128662109,raw_energy_per_atom_lower_is_more_stable
wbm-1-10467,Cl8 Pr2,CHGNet,scored,-4.597962379455566,-4.597962379455566,raw_energy_per_atom_lower_is_more_stable
wbm-1-10467,Cl8 Pr2,MACE-MP,scored,-4.189241027832031,-4.189241027832031,raw_energy_per_atom_lower_is_more_stable
wbm-1-10490,Cl8 Sc2,CHGNet,scored,-4.775341510772705,-4.775341510772705,raw_energy_per_atom_lower_is_more_stable
wbm-1-10490,Cl8 Sc2,MACE-MP,scored,-4.386229705810547,-4.386229705810547,raw_energy_per_atom_lower_is_more_stable
wbm-1-10493,Cl8 Sm2,CHGNet,scored,-4.597629547119141,-4.597629547119141,raw_energy_per_atom_lower_is_more_stable
wbm-1-10493,Cl8 Sm2,MACE-MP,scored,-4.182483291625976,-4.182483291625976,raw_energy_per_atom_lower_is_more_stable
wbm-1-10504,Cl8 Sr2,CHGNet,scored,-3.565579891204834,-3.565579891204834,raw_energy_per_atom_lower_is_more_stable
wbm-1-10504,Cl8 Sr2,MACE-MP,scored,-3.2331317901611327,-3.2331317901611327,raw_energy_per_atom_lower_is_more_stable
wbm-1-10508,Cl8 Tb2,CHGNet,scored,-4.595449924468994,-4.595449924468994,raw_energy_per_atom_lower_is_more_stable
wbm-1-10508,Cl8 Tb2,MACE-MP,scored,-4.176704406738281,-4.176704406738281,raw_energy_per_atom_lower_is_more_stable
wbm-1-10522,Cl8 Yb2,CHGNet,scored,-3.513633966445923,-3.513633966445923,raw_energy_per_atom_lower_is_more_stable
wbm-1-10522,Cl8 Yb2,MACE-MP,scored,-3.181139373779297,-3.181139373779297,raw_energy_per_atom_lower_is_more_stable
wbm-1-10524,Cl8 Y2,CHGNet,scored,-4.94873046875,-4.94873046875,raw_energy_per_atom_lower_is_more_stable
wbm-1-10524,Cl8 Y2,MACE-MP,scored,-4.537421035766601,-4.537421035766601,raw_energy_per_atom_lower_is_more_stable
wbm-1-10582,Cl6 Cs2 Er1,CHGNet,scored,-4.282657623291016,-4.282657623291016,raw_energy_per_atom_lower_is_more_stable
wbm-1-10582,Cl6 Cs2 Er1,MACE-MP,scored,-3.953812493218316,-3.953812493218316,raw_energy_per_atom_lower_is_more_stable
wbm-1-10587,Cl6 Cs2 Ho1,CHGNet,scored,-4.286273002624512,-4.286273002624512,raw_energy_per_atom_lower_is_more_stable
wbm-1-10587,Cl6 Cs2 Ho1,MACE-MP,scored,-3.9611638387044272,-3.9611638387044272,raw_energy_per_atom_lower_is_more_stable
wbm-1-10589,Cl6 Cs2 Lu1,CHGNet,scored,-4.262195587158203,-4.262195587158203,raw_energy_per_atom_lower_is_more_stable
wbm-1-10589,Cl6 Cs2 Lu1,MACE-MP,scored,-3.9475284152560763,-3.9475284152560763,raw_energy_per_atom_lower_is_more_stable
wbm-1-10596,Cl6 Cs2 Tm1,CHGNet,scored,-4.270763397216797,-4.270763397216797,raw_energy_per_atom_lower_is_more_stable
wbm-1-10596,Cl6 Cs2 Tm1,MACE-MP,scored,-3.9598346286349826,-3.9598346286349826,raw_energy_per_atom_lower_is_more_stable
wbm-1-10605,Cl6 Cu1 Rb2,CHGNet,scored,-3.2243919372558594,-3.2243919372558594,raw_energy_per_atom_lower_is_more_stable
wbm-1-10605,Cl6 Cu1 Rb2,MACE-MP,scored,-2.905409918891059,-2.905409918891059,raw_energy_per_atom_lower_is_more_stable
wbm-1-10630,Cl6 Cu1 K2,CHGNet,scored,-3.2583940029144287,-3.2583940029144287,raw_energy_per_atom_lower_is_more_stable
wbm-1-10630,Cl6 Cu1 K2,MACE-MP,scored,-2.9180789523654513,-2.9180789523654513,raw_energy_per_atom_lower_is_more_stable
wbm-1-10638,Cl6 K2 Ni1,CHGNet,scored,-3.5461440086364746,-3.5461440086364746,raw_energy_per_atom_lower_is_more_stable
wbm-1-10638,Cl6 K2 Ni1,MACE-MP,scored,-3.1497364044189453,-3.1497364044189453,raw_energy_per_atom_lower_is_more_stable
wbm-1-10689,Cl6 Cs2 Ni1,CHGNet,scored,-3.5163886547088623,-3.5163886547088623,raw_energy_per_atom_lower_is_more_stable
wbm-1-10689,Cl6 Cs2 Ni1,MACE-MP,scored,-3.1264353858100042,-3.1264353858100042,raw_energy_per_atom_lower_is_more_stable
wbm-1-10690,Cl6 Ni1 Rb2,CHGNet,scored,-3.5168821811676025,-3.5168821811676025,raw_energy_per_atom_lower_is_more_stable
wbm-1-10690,Cl6 Ni1 Rb2,MACE-MP,scored,-3.1353051927354603,-3.1353051927354603,raw_energy_per_atom_lower_is_more_stable
wbm-1-10706,Cl6 In1 Rb2,CHGNet,scored,-3.5112273693084717,-3.5112273693084717,raw_energy_per_atom_lower_is_more_stable
wbm-1-10706,Cl6 In1 Rb2,MACE-MP,scored,-3.1498194800482855,-3.1498194800482855,raw_energy_per_atom_lower_is_more_stable
wbm-1-10730,Cl6 Cs2 Sc1,CHGNet,scored,-4.450105667114258,-4.450105667114258,raw_energy_per_atom_lower_is_more_stable
wbm-1-10730,Cl6 Cs2 Sc1,MACE-MP,scored,-4.080376519097222,-4.080376519097222,raw_energy_per_atom_lower_is_more_stable
wbm-1-10732,Cl6 Rb2 Sc1,CHGNet,scored,-4.430181980133057,-4.430181980133057,raw_energy_per_atom_lower_is_more_stable
wbm-1-10732,Cl6 Rb2 Sc1,MACE-MP,scored,-4.058986239963108,-4.058986239963108,raw_energy_per_atom_lower_is_more_stable
wbm-1-10801,Ba1 Cl8 Yb2,CHGNet,scored,-4.15841817855835,-4.15841817855835,raw_energy_per_atom_lower_is_more_stable
wbm-1-10801,Ba1 Cl8 Yb2,MACE-MP,scored,-3.7581735090775923,-3.7581735090775923,raw_energy_per_atom_lower_is_more_stable
wbm-1-10803,Ba1 Ca2 Cl8,CHGNet,scored,-4.19399356842041,-4.19399356842041,raw_energy_per_atom_lower_is_more_stable
wbm-1-10803,Ba1 Ca2 Cl8,MACE-MP,scored,-3.8138112154873935,-3.8138112154873935,raw_energy_per_atom_lower_is_more_stable
wbm-1-10810,Ba1 Cl8 Sr2,CHGNet,scored,-4.207515716552734,-4.207515716552734,raw_energy_per_atom_lower_is_more_stable
wbm-1-10810,Ba1 Cl8 Sr2,MACE-MP,scored,-3.7950397838245737,-3.7950397838245737,raw_energy_per_atom_lower_is_more_stable
wbm-1-11501,Br6 Co2,CHGNet,scored,-3.625685691833496,-3.625685691833496,raw_energy_per_atom_lower_is_more_stable
wbm-1-11501,Br6 Co2,MACE-MP,scored,-3.26438570022583,-3.26438570022583,raw_energy_per_atom_lower_is_more_stable
