denominator,metric,label_view_a,label_view_b,common_model_n,rank_inversion_count,top_model_a,top_model_b,top_model_inversion,example_inversions
D5_family_complete,stable_yield@100,audit_view,consensus,12,9,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->official_Alexandria_PBE_common_pool_public_hull_rank;CHGNet<->MP_common_pool_public_hull_rank;CHGNet<->official_Alexandria_PBE_common_pool_public_hull_rank;M3GNet<->official_Alexandria_PBE_common_pool_public_hull_rank;MACE-MP<->MP_common_pool_public_hull_rank
D5_family_complete,stable_yield@100,audit_view,mp_native,12,3,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,ALIGNN-FF<->random_baseline;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@100,audit_view,uncertain,12,46,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_common_pool_public_hull_rank;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@100,common_pool,mp_native,12,11,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->official_Alexandria_PBE_common_pool_public_hull_rank;CHGNet<->MP_common_pool_public_hull_rank;CHGNet<->official_Alexandria_PBE_common_pool_public_hull_rank;M3GNet<->MP_common_pool_public_hull_rank;M3GNet<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,stable_yield@100,common_pool,uncertain,12,23,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MP_source_native_public_hull_rank
D5_family_complete,stable_yield@100,consensus,mp_native,12,12,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->official_Alexandria_PBE_common_pool_public_hull_rank;ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline;CHGNet<->MACE-MP;CHGNet<->MP_common_pool_public_hull_rank
D5_family_complete,stable_yield@100,consensus,uncertain,12,23,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy
D5_family_complete,stable_yield@100,mp_native,uncertain,12,42,MP_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_common_pool_public_hull_rank;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@1000,alex_pbe_native,alexmp20_native,12,2,consensus_oracle_proxy,MatterGen_alex_mp20_source_native_public_hull_rank,True,M3GNet<->MACE-MP;MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@1000,alex_pbe_native,common_pool,12,14,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline;CHGNet<->prevalence_dummy;M3GNet<->MACE-MP;M3GNet<->prevalence_dummy
D5_family_complete,stable_yield@1000,alex_pbe_native,consensus,12,6,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;CHGNet<->prevalence_dummy;CHGNet<->random_baseline;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy
D5_family_complete,stable_yield@1000,alex_pbe_native,mp_native,12,7,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,ALIGNN-FF<->random_baseline;M3GNet<->MACE-MP;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,stable_yield@1000,alex_pbe_native,uncertain,12,44,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy
D5_family_complete,stable_yield@1000,alexmp20_native,audit_view,12,2,MatterGen_alex_mp20_source_native_public_hull_rank,consensus_oracle_proxy,True,M3GNet<->MACE-MP;MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@1000,alexmp20_native,common_pool,12,14,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline;CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy
D5_family_complete,stable_yield@1000,alexmp20_native,consensus,12,7,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;CHGNet<->prevalence_dummy;CHGNet<->random_baseline;M3GNet<->MACE-MP;M3GNet<->prevalence_dummy
D5_family_complete,stable_yield@1000,alexmp20_native,mp_native,12,5,MatterGen_alex_mp20_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->random_baseline;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@1000,alexmp20_native,uncertain,12,42,MatterGen_alex_mp20_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy
D5_family_complete,stable_yield@1000,audit_view,common_pool,12,14,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline;CHGNet<->prevalence_dummy;M3GNet<->MACE-MP;M3GNet<->prevalence_dummy
D5_family_complete,stable_yield@1000,audit_view,consensus,12,6,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;CHGNet<->prevalence_dummy;CHGNet<->random_baseline;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy
D5_family_complete,stable_yield@1000,audit_view,mp_native,12,7,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,ALIGNN-FF<->random_baseline;M3GNet<->MACE-MP;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,stable_yield@1000,audit_view,uncertain,12,45,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy
D5_family_complete,stable_yield@1000,common_pool,mp_native,12,11,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;CHGNet<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@1000,common_pool,uncertain,12,30,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->random_baseline
D5_family_complete,stable_yield@1000,consensus,mp_native,12,6,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline;CHGNet<->prevalence_dummy;CHGNet<->random_baseline;M3GNet<->MACE-MP
D5_family_complete,stable_yield@1000,consensus,uncertain,12,26,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->M3GNet
D5_family_complete,stable_yield@1000,mp_native,uncertain,12,39,MP_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy
D5_family_complete,stable_yield@10000,alex_pbe_native,alexmp20_native,12,5,official_Alexandria_PBE_source_native_public_hull_rank,MatterGen_alex_mp20_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;MatterGen_alex_mp20_source_native_public_hull_rank<->consensus_oracle_proxy;MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;consensus_oracle_proxy<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@10000,alex_pbe_native,audit_view,12,3,official_Alexandria_PBE_source_native_public_hull_rank,consensus_oracle_proxy,True,M3GNet<->prevalence_dummy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;consensus_oracle_proxy<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@10000,alex_pbe_native,common_pool,12,12,official_Alexandria_PBE_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@10000,alex_pbe_native,consensus,12,3,official_Alexandria_PBE_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy
D5_family_complete,stable_yield@10000,alex_pbe_native,mp_native,12,6,official_Alexandria_PBE_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@10000,alex_pbe_native,uncertain,12,33,official_Alexandria_PBE_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,stable_yield@10000,alexmp20_native,audit_view,12,4,MatterGen_alex_mp20_source_native_public_hull_rank,consensus_oracle_proxy,True,ALIGNN-FF<->CHGNet;M3GNet<->prevalence_dummy;MatterGen_alex_mp20_source_native_public_hull_rank<->consensus_oracle_proxy;MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@10000,alexmp20_native,common_pool,12,14,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->consensus_oracle_proxy
D5_family_complete,stable_yield@10000,alexmp20_native,consensus,12,2,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy
D5_family_complete,stable_yield@10000,alexmp20_native,mp_native,12,5,MatterGen_alex_mp20_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;MatterGen_alex_mp20_source_native_public_hull_rank<->consensus_oracle_proxy
D5_family_complete,stable_yield@10000,alexmp20_native,uncertain,12,32,MatterGen_alex_mp20_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank;CHGNet<->consensus_oracle_proxy
D5_family_complete,stable_yield@10000,audit_view,common_pool,12,14,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->consensus_oracle_proxy
D5_family_complete,stable_yield@10000,audit_view,consensus,12,2,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;CHGNet<->prevalence_dummy
D5_family_complete,stable_yield@10000,audit_view,mp_native,12,5,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,M3GNet<->prevalence_dummy;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@10000,audit_view,uncertain,12,36,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,stable_yield@10000,common_pool,mp_native,12,13,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@10000,common_pool,uncertain,12,21,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,stable_yield@10000,consensus,mp_native,12,3,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy
D5_family_complete,stable_yield@10000,consensus,uncertain,12,21,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank;CHGNet<->consensus_oracle_proxy
D5_family_complete,stable_yield@10000,mp_native,uncertain,12,31,MP_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,stable_yield@300,alex_pbe_native,alexmp20_native,12,2,consensus_oracle_proxy,MatterGen_alex_mp20_source_native_public_hull_rank,True,MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;prevalence_dummy<->random_baseline
D5_family_complete,stable_yield@300,alex_pbe_native,common_pool,12,8,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,stable_yield@300,alex_pbe_native,consensus,12,2,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,CHGNet<->prevalence_dummy;prevalence_dummy<->random_baseline
D5_family_complete,stable_yield@300,alex_pbe_native,mp_native,12,8,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline;CHGNet<->official_Alexandria_PBE_common_pool_public_hull_rank;M3GNet<->official_Alexandria_PBE_common_pool_public_hull_rank;MACE-MP<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,stable_yield@300,alex_pbe_native,uncertain,12,38,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy
D5_family_complete,stable_yield@300,alexmp20_native,audit_view,12,2,MatterGen_alex_mp20_source_native_public_hull_rank,consensus_oracle_proxy,True,CHGNet<->M3GNet;MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@300,alexmp20_native,common_pool,12,8,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,stable_yield@300,alexmp20_native,consensus,12,2,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,CHGNet<->M3GNet;CHGNet<->prevalence_dummy
D5_family_complete,stable_yield@300,alexmp20_native,mp_native,12,8,MatterGen_alex_mp20_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline;CHGNet<->official_Alexandria_PBE_common_pool_public_hull_rank;M3GNet<->official_Alexandria_PBE_common_pool_public_hull_rank;MACE-MP<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,stable_yield@300,alexmp20_native,uncertain,12,38,MatterGen_alex_mp20_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy
D5_family_complete,stable_yield@300,audit_view,common_pool,12,8,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,CHGNet<->M3GNet;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,stable_yield@300,audit_view,consensus,12,1,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,CHGNet<->prevalence_dummy
D5_family_complete,stable_yield@300,audit_view,mp_native,12,8,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline;CHGNet<->M3GNet;CHGNet<->official_Alexandria_PBE_common_pool_public_hull_rank;M3GNet<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,stable_yield@300,audit_view,uncertain,12,41,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy
D5_family_complete,stable_yield@300,common_pool,mp_native,12,12,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline;CHGNet<->official_Alexandria_PBE_common_pool_public_hull_rank;M3GNet<->official_Alexandria_PBE_common_pool_public_hull_rank;MACE-MP<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,stable_yield@300,common_pool,uncertain,12,30,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy
D5_family_complete,stable_yield@300,consensus,mp_native,12,7,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline;CHGNet<->M3GNet;CHGNet<->official_Alexandria_PBE_common_pool_public_hull_rank;CHGNet<->prevalence_dummy
D5_family_complete,stable_yield@300,consensus,uncertain,12,27,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy
D5_family_complete,stable_yield@300,mp_native,uncertain,12,38,MP_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MP_source_native_public_hull_rank
D5_family_complete,stable_yield@500,alex_pbe_native,alexmp20_native,12,1,consensus_oracle_proxy,MatterGen_alex_mp20_source_native_public_hull_rank,True,MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@500,alex_pbe_native,common_pool,12,10,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->random_baseline;CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank
D5_family_complete,stable_yield@500,alex_pbe_native,consensus,12,3,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy
D5_family_complete,stable_yield@500,alex_pbe_native,mp_native,12,6,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,ALIGNN-FF<->random_baseline;CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,stable_yield@500,alex_pbe_native,uncertain,12,43,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline
D5_family_complete,stable_yield@500,alexmp20_native,audit_view,12,1,MatterGen_alex_mp20_source_native_public_hull_rank,consensus_oracle_proxy,True,MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@500,alexmp20_native,common_pool,12,11,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->random_baseline;CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank
D5_family_complete,stable_yield@500,alexmp20_native,consensus,12,3,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy
D5_family_complete,stable_yield@500,alexmp20_native,mp_native,12,7,MatterGen_alex_mp20_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->random_baseline;CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank
