denominator,label_view,metric,model_name,metric_value,rank,real_model_rank
D5_full_complete,uncertain,stable_yield@1000,ALIGNN-FF,0.311,7,4
D5_full_complete,uncertain,stable_yield@5000,ALIGNN-FF,0.3114,9,4
D5_full_complete,uncertain,stable_yield@10000,ALIGNN-FF,0.3067,9,4
D5_full_complete,audit_view,f1,ALIGNN-FF,0.2254664277432276,11,3
D5_full_complete,audit_view,precision,ALIGNN-FF,0.2254664277432276,11,3
D5_full_complete,audit_view,recall,ALIGNN-FF,0.2254664277432276,11,3
D5_full_complete,audit_view,balanced_accuracy,ALIGNN-FF,0.47806566750404544,11,3
D5_full_complete,audit_view,auroc,ALIGNN-FF,0.4884532302128903,11,3
D5_full_complete,audit_view,auprc,ALIGNN-FF,0.24592435303931948,12,4
D5_full_complete,audit_view,stable_yield@100,ALIGNN-FF,0.25,10,4
D5_full_complete,audit_view,stable_yield@300,ALIGNN-FF,0.18666666666666668,12,4
D5_full_complete,audit_view,stable_yield@500,ALIGNN-FF,0.204,12,4
D5_full_complete,audit_view,stable_yield@1000,ALIGNN-FF,0.245,12,4
D5_full_complete,audit_view,stable_yield@5000,ALIGNN-FF,0.2266,12,4
D5_full_complete,audit_view,stable_yield@10000,ALIGNN-FF,0.2275,11,3
D5_full_complete,mp_native,f1,CHGNet,0.36137361906029547,11,3
D5_full_complete,mp_native,precision,CHGNet,0.36137361906029547,11,3
D5_full_complete,mp_native,recall,CHGNet,0.36137361906029547,11,3
D5_full_complete,mp_native,balanced_accuracy,CHGNet,0.46001808856247994,11,3
D5_full_complete,mp_native,auroc,CHGNet,0.46634214197055146,11,3
D5_full_complete,mp_native,auprc,CHGNet,0.3861317019669205,11,3
D5_full_complete,mp_native,stable_yield@100,CHGNet,0.62,5,1
D5_full_complete,mp_native,stable_yield@300,CHGNet,0.54,7,2
D5_full_complete,mp_native,stable_yield@500,CHGNet,0.484,9,3
D5_full_complete,mp_native,stable_yield@1000,CHGNet,0.442,10,3
D5_full_complete,mp_native,stable_yield@5000,CHGNet,0.3534,11,3
D5_full_complete,mp_native,stable_yield@10000,CHGNet,0.3404,12,4
D5_full_complete,alexmp20_native,f1,CHGNet,0.31801083358411075,11,3
D5_full_complete,alexmp20_native,precision,CHGNet,0.31801083358411075,11,3
D5_full_complete,alexmp20_native,recall,CHGNet,0.31801083358411075,11,3
D5_full_complete,alexmp20_native,balanced_accuracy,CHGNet,0.46594412275959807,11,3
D5_full_complete,alexmp20_native,auroc,CHGNet,0.4764583398038541,11,3
D5_full_complete,alexmp20_native,auprc,CHGNet,0.3424282375925994,11,3
D5_full_complete,alexmp20_native,stable_yield@100,CHGNet,0.42,6,1
D5_full_complete,alexmp20_native,stable_yield@300,CHGNet,0.39,8,2
D5_full_complete,alexmp20_native,stable_yield@500,CHGNet,0.368,10,3
D5_full_complete,alexmp20_native,stable_yield@1000,CHGNet,0.359,10,3
D5_full_complete,alexmp20_native,stable_yield@5000,CHGNet,0.314,11,3
D5_full_complete,alexmp20_native,stable_yield@10000,CHGNet,0.3066,11,3
D5_full_complete,alex_pbe_native,f1,CHGNet,0.2889783841538588,12,4
D5_full_complete,alex_pbe_native,precision,CHGNet,0.2889783841538588,12,4
D5_full_complete,alex_pbe_native,recall,CHGNet,0.2889783841538588,12,4
D5_full_complete,alex_pbe_native,balanced_accuracy,CHGNet,0.4686701529744174,12,4
D5_full_complete,alex_pbe_native,auroc,CHGNet,0.4812437461275092,12,4
D5_full_complete,alex_pbe_native,auprc,CHGNet,0.3147807771766593,11,3
D5_full_complete,alex_pbe_native,stable_yield@100,CHGNet,0.38,6,1
D5_full_complete,alex_pbe_native,stable_yield@300,CHGNet,0.33,8,2
D5_full_complete,alex_pbe_native,stable_yield@500,CHGNet,0.326,10,3
D5_full_complete,alex_pbe_native,stable_yield@1000,CHGNet,0.321,10,3
D5_full_complete,alex_pbe_native,stable_yield@5000,CHGNet,0.2932,11,3
D5_full_complete,alex_pbe_native,stable_yield@10000,CHGNet,0.2853,12,4
D5_full_complete,common_pool,f1,CHGNet,0.48459298798980954,10,3
D5_full_complete,common_pool,precision,CHGNet,0.48459298798980954,10,3
D5_full_complete,common_pool,recall,CHGNet,0.48459298798980954,10,3
D5_full_complete,common_pool,balanced_accuracy,CHGNet,0.4661688454832708,10,3
D5_full_complete,common_pool,auroc,CHGNet,0.47714848087546924,12,4
D5_full_complete,common_pool,auprc,CHGNet,0.5011589083844536,11,3
D5_full_complete,common_pool,stable_yield@100,CHGNet,0.72,7,1
D5_full_complete,common_pool,stable_yield@300,CHGNet,0.62,8,2
D5_full_complete,common_pool,stable_yield@500,CHGNet,0.578,9,3
D5_full_complete,common_pool,stable_yield@1000,CHGNet,0.54,9,3
D5_full_complete,common_pool,stable_yield@5000,CHGNet,0.478,11,3
D5_full_complete,common_pool,stable_yield@10000,CHGNet,0.4654,12,4
D5_full_complete,consensus,f1,CHGNet,0.33846316011384,11,3
D5_full_complete,consensus,precision,CHGNet,0.33846316011384,11,3
D5_full_complete,consensus,recall,CHGNet,0.33846316011384,11,3
D5_full_complete,consensus,balanced_accuracy,CHGNet,0.46178793624122616,11,3
D5_full_complete,consensus,auroc,CHGNet,0.47316068878310924,11,3
D5_full_complete,consensus,auprc,CHGNet,0.3652564747342638,11,3
D5_full_complete,consensus,stable_yield@100,CHGNet,0.54,8,2
D5_full_complete,consensus,stable_yield@300,CHGNet,0.4266666666666667,10,3
D5_full_complete,consensus,stable_yield@500,CHGNet,0.414,9,3
D5_full_complete,consensus,stable_yield@1000,CHGNet,0.379,10,3
D5_full_complete,consensus,stable_yield@5000,CHGNet,0.327,11,3
D5_full_complete,consensus,stable_yield@10000,CHGNet,0.3405,10,3
D5_full_complete,uncertain,f1,CHGNet,0.30933772110242697,8,3
D5_full_complete,uncertain,precision,CHGNet,0.30933772110242697,8,3
D5_full_complete,uncertain,recall,CHGNet,0.30933772110242697,8,3
D5_full_complete,uncertain,balanced_accuracy,CHGNet,0.48413583056827697,8,3
D5_full_complete,uncertain,auroc,CHGNet,0.47922714703504216,10,3
D5_full_complete,uncertain,auprc,CHGNet,0.32130055754435566,10,3
D5_full_complete,uncertain,stable_yield@100,CHGNet,0.39,3,1
D5_full_complete,uncertain,stable_yield@300,CHGNet,0.38,4,2
D5_full_complete,uncertain,stable_yield@500,CHGNet,0.372,3,1
D5_full_complete,uncertain,stable_yield@1000,CHGNet,0.354,3,1
D5_full_complete,uncertain,stable_yield@5000,CHGNet,0.3232,6,2
D5_full_complete,uncertain,stable_yield@10000,CHGNet,0.3075,8,3
D5_full_complete,audit_view,f1,CHGNet,0.22346368715083798,12,4
D5_full_complete,audit_view,precision,CHGNet,0.22346368715083798,12,4
D5_full_complete,audit_view,recall,CHGNet,0.22346368715083798,12,4
D5_full_complete,audit_view,balanced_accuracy,CHGNet,0.476716082267597,12,4
D5_full_complete,audit_view,auroc,CHGNet,0.4879827489481727,12,4
D5_full_complete,audit_view,auprc,CHGNet,0.2479882958431099,11,3
D5_full_complete,audit_view,stable_yield@100,CHGNet,0.34,5,1
D5_full_complete,audit_view,stable_yield@300,CHGNet,0.2833333333333333,9,3
D5_full_complete,audit_view,stable_yield@500,CHGNet,0.266,10,3
D5_full_complete,audit_view,stable_yield@1000,CHGNet,0.261,10,3
D5_full_complete,audit_view,stable_yield@5000,CHGNet,0.2298,11,3
D5_full_complete,audit_view,stable_yield@10000,CHGNet,0.2236,12,4
D5_full_complete,mp_native,f1,M3GNet,0.3738852655397311,9,2
D5_full_complete,mp_native,precision,M3GNet,0.3738852655397311,9,2
D5_full_complete,mp_native,recall,M3GNet,0.3738852655397311,9,2
D5_full_complete,mp_native,balanced_accuracy,M3GNet,0.47059714226717503,9,2
D5_full_complete,mp_native,auroc,M3GNet,0.4806218945310445,10,2
D5_full_complete,mp_native,auprc,M3GNet,0.3983976334926506,10,2
D5_full_complete,mp_native,stable_yield@100,M3GNet,0.58,7,3
D5_full_complete,mp_native,stable_yield@300,M3GNet,0.53,8,3
D5_full_complete,mp_native,stable_yield@500,M3GNet,0.5,8,2
D5_full_complete,mp_native,stable_yield@1000,M3GNet,0.461,8,2
D5_full_complete,mp_native,stable_yield@5000,M3GNet,0.3824,10,2
D5_full_complete,mp_native,stable_yield@10000,M3GNet,0.3663,10,2
D5_full_complete,alexmp20_native,f1,M3GNet,0.33599157387902495,10,2
D5_full_complete,alexmp20_native,precision,M3GNet,0.33599157387902495,10,2
D5_full_complete,alexmp20_native,recall,M3GNet,0.33599157387902495,10,2
D5_full_complete,alexmp20_native,balanced_accuracy,M3GNet,0.480024581078457,10,2
D5_full_complete,alexmp20_native,auroc,M3GNet,0.48947569182743966,10,2
D5_full_complete,alexmp20_native,auprc,M3GNet,0.35211456408696656,10,2
D5_full_complete,alexmp20_native,stable_yield@100,M3GNet,0.35,10,3
D5_full_complete,alexmp20_native,stable_yield@300,M3GNet,0.37333333333333335,9,3
D5_full_complete,alexmp20_native,stable_yield@500,M3GNet,0.378,9,2
D5_full_complete,alexmp20_native,stable_yield@1000,M3GNet,0.373,9,2
D5_full_complete,alexmp20_native,stable_yield@5000,M3GNet,0.3386,10,2
D5_full_complete,alexmp20_native,stable_yield@10000,M3GNet,0.3299,10,2
D5_full_complete,alex_pbe_native,f1,M3GNet,0.3060738061970905,10,2
D5_full_complete,alex_pbe_native,precision,M3GNet,0.3060738061970905,10,2
D5_full_complete,alex_pbe_native,recall,M3GNet,0.3060738061970905,10,2
D5_full_complete,alex_pbe_native,balanced_accuracy,M3GNet,0.48144516258964354,10,2
D5_full_complete,alex_pbe_native,auroc,M3GNet,0.49258284433592503,10,2
D5_full_complete,alex_pbe_native,auprc,M3GNet,0.3233459840606443,10,2
D5_full_complete,alex_pbe_native,stable_yield@100,M3GNet,0.33,9,3
D5_full_complete,alex_pbe_native,stable_yield@300,M3GNet,0.33,8,2
D5_full_complete,alex_pbe_native,stable_yield@500,M3GNet,0.338,9,2
D5_full_complete,alex_pbe_native,stable_yield@1000,M3GNet,0.338,8,1
D5_full_complete,alex_pbe_native,stable_yield@5000,M3GNet,0.3116,10,2
D5_full_complete,alex_pbe_native,stable_yield@10000,M3GNet,0.3034,10,2
D5_full_complete,common_pool,f1,M3GNet,0.4907800558049254,9,2
D5_full_complete,common_pool,precision,M3GNet,0.4907800558049254,9,2
D5_full_complete,common_pool,recall,M3GNet,0.4907800558049254,9,2
D5_full_complete,common_pool,balanced_accuracy,M3GNet,0.4725770810676778,9,2
D5_full_complete,common_pool,auroc,M3GNet,0.4862080744954233,10,2
D5_full_complete,common_pool,auprc,M3GNet,0.510183827015601,10,2
D5_full_complete,common_pool,stable_yield@100,M3GNet,0.68,9,3
D5_full_complete,common_pool,stable_yield@300,M3GNet,0.6166666666666667,9,3
D5_full_complete,common_pool,stable_yield@500,M3GNet,0.598,8,2
D5_full_complete,common_pool,stable_yield@1000,M3GNet,0.553,8,2
D5_full_complete,common_pool,stable_yield@5000,M3GNet,0.504,10,2
D5_full_complete,common_pool,stable_yield@10000,M3GNet,0.4842,10,2
D5_full_complete,consensus,f1,M3GNet,0.3542742700537578,9,2
D5_full_complete,consensus,precision,M3GNet,0.3542742700537578,9,2
D5_full_complete,consensus,recall,M3GNet,0.3542742700537578,9,2
D5_full_complete,consensus,balanced_accuracy,M3GNet,0.4746515132909101,9,2
D5_full_complete,consensus,auroc,M3GNet,0.486897080492364,10,2
D5_full_complete,consensus,auprc,M3GNet,0.3774059517436322,10,2
D5_full_complete,consensus,stable_yield@100,M3GNet,0.5,9,3
D5_full_complete,consensus,stable_yield@300,M3GNet,0.45,8,2
D5_full_complete,consensus,stable_yield@500,M3GNet,0.424,8,2
D5_full_complete,consensus,stable_yield@1000,M3GNet,0.413,7,1
D5_full_complete,consensus,stable_yield@5000,M3GNet,0.3598,10,2
D5_full_complete,consensus,stable_yield@10000,M3GNet,0.3552,9,2
D5_full_complete,uncertain,f1,M3GNet,0.31238173591114765,7,2
D5_full_complete,uncertain,precision,M3GNet,0.31238173591114765,7,2
D5_full_complete,uncertain,recall,M3GNet,0.31238173591114765,7,2
D5_full_complete,uncertain,balanced_accuracy,M3GNet,0.486409442750406,7,2
D5_full_complete,uncertain,auroc,M3GNet,0.48166412235019773,9,2
D5_full_complete,uncertain,auprc,M3GNet,0.3226118598487381,9,2
D5_full_complete,uncertain,stable_yield@100,M3GNet,0.39,3,1
D5_full_complete,uncertain,stable_yield@300,M3GNet,0.37666666666666665,5,3
D5_full_complete,uncertain,stable_yield@500,M3GNet,0.352,5,3
D5_full_complete,uncertain,stable_yield@1000,M3GNet,0.342,5,3
D5_full_complete,uncertain,stable_yield@5000,M3GNet,0.3276,4,1
D5_full_complete,uncertain,stable_yield@10000,M3GNet,0.3129,7,2
D5_full_complete,audit_view,f1,M3GNet,0.24043427848634974,9,2
D5_full_complete,audit_view,precision,M3GNet,0.24043427848634974,9,2
D5_full_complete,audit_view,recall,M3GNet,0.24043427848634974,9,2
D5_full_complete,audit_view,balanced_accuracy,M3GNet,0.4881520413764495,9,2
D5_full_complete,audit_view,auroc,M3GNet,0.49808029062676923,10,2
D5_full_complete,audit_view,auprc,M3GNet,0.2556927578863755,10,2
D5_full_complete,audit_view,stable_yield@100,M3GNet,0.31,7,3
D5_full_complete,audit_view,stable_yield@300,M3GNet,0.2866666666666667,8,2
D5_full_complete,audit_view,stable_yield@500,M3GNet,0.292,9,2
D5_full_complete,audit_view,stable_yield@1000,M3GNet,0.279,8,1
D5_full_complete,audit_view,stable_yield@5000,M3GNet,0.2496,10,2
D5_full_complete,audit_view,stable_yield@10000,M3GNet,0.2401,9,2
D5_full_complete,mp_native,f1,MACE-MP,0.37960867829096234,8,1
D5_full_complete,mp_native,precision,MACE-MP,0.37960867829096234,8,1
D5_full_complete,mp_native,recall,MACE-MP,0.37960867829096234,8,1
D5_full_complete,mp_native,balanced_accuracy,MACE-MP,0.47543649662145043,8,1
D5_full_complete,mp_native,auroc,MACE-MP,0.48710324630763574,9,1
D5_full_complete,mp_native,auprc,MACE-MP,0.4052202881647264,9,1
D5_full_complete,mp_native,stable_yield@100,MACE-MP,0.61,6,2
D5_full_complete,mp_native,stable_yield@300,MACE-MP,0.56,6,1
D5_full_complete,mp_native,stable_yield@500,MACE-MP,0.53,7,1
D5_full_complete,mp_native,stable_yield@1000,MACE-MP,0.465,7,1
D5_full_complete,mp_native,stable_yield@5000,MACE-MP,0.4088,8,1
D5_full_complete,mp_native,stable_yield@10000,MACE-MP,0.3819,8,1
D5_full_complete,alexmp20_native,f1,MACE-MP,0.342612097502257,9,1
D5_full_complete,alexmp20_native,precision,MACE-MP,0.342612097502257,9,1
D5_full_complete,alexmp20_native,recall,MACE-MP,0.342612097502257,9,1
D5_full_complete,alexmp20_native,balanced_accuracy,MACE-MP,0.48520901761427115,9,1
D5_full_complete,alexmp20_native,auroc,MACE-MP,0.4964146003225495,9,1
D5_full_complete,alexmp20_native,auprc,MACE-MP,0.35926700486341867,9,1
D5_full_complete,alexmp20_native,stable_yield@100,MACE-MP,0.42,6,1
D5_full_complete,alexmp20_native,stable_yield@300,MACE-MP,0.41333333333333333,7,1
D5_full_complete,alexmp20_native,stable_yield@500,MACE-MP,0.41,8,1
D5_full_complete,alexmp20_native,stable_yield@1000,MACE-MP,0.385,8,1
D5_full_complete,alexmp20_native,stable_yield@5000,MACE-MP,0.3612,9,1
D5_full_complete,alexmp20_native,stable_yield@10000,MACE-MP,0.3436,8,1
D5_full_complete,alex_pbe_native,f1,MACE-MP,0.31527903345113834,9,1
D5_full_complete,alex_pbe_native,precision,MACE-MP,0.31527903345113834,9,1
D5_full_complete,alex_pbe_native,recall,MACE-MP,0.31527903345113834,9,1
D5_full_complete,alex_pbe_native,balanced_accuracy,MACE-MP,0.4883240139209192,9,1
D5_full_complete,alex_pbe_native,auroc,MACE-MP,0.49899986481255665,8,1
D5_full_complete,alex_pbe_native,auprc,MACE-MP,0.3285859064107118,9,1
D5_full_complete,alex_pbe_native,stable_yield@100,MACE-MP,0.37,7,2
D5_full_complete,alex_pbe_native,stable_yield@300,MACE-MP,0.35333333333333333,7,1
D5_full_complete,alex_pbe_native,stable_yield@500,MACE-MP,0.354,8,1
D5_full_complete,alex_pbe_native,stable_yield@1000,MACE-MP,0.337,9,2
D5_full_complete,alex_pbe_native,stable_yield@5000,MACE-MP,0.3306,8,1
D5_full_complete,alex_pbe_native,stable_yield@10000,MACE-MP,0.3165,8,1
D5_full_complete,common_pool,f1,MACE-MP,0.49751304136843383,8,1
D5_full_complete,common_pool,precision,MACE-MP,0.49751304136843383,8,1
D5_full_complete,common_pool,recall,MACE-MP,0.49751304136843383,8,1
D5_full_complete,common_pool,balanced_accuracy,MACE-MP,0.47955074920365015,8,1
D5_full_complete,common_pool,auroc,MACE-MP,0.4955174004314135,9,1
D5_full_complete,common_pool,auprc,MACE-MP,0.5182962046888805,7,1
D5_full_complete,common_pool,stable_yield@100,MACE-MP,0.71,8,2
D5_full_complete,common_pool,stable_yield@300,MACE-MP,0.6366666666666667,7,1
D5_full_complete,common_pool,stable_yield@500,MACE-MP,0.616,7,1
D5_full_complete,common_pool,stable_yield@1000,MACE-MP,0.565,7,1
D5_full_complete,common_pool,stable_yield@5000,MACE-MP,0.5262,7,1
D5_full_complete,common_pool,stable_yield@10000,MACE-MP,0.5006,9,1
D5_full_complete,consensus,f1,MACE-MP,0.36217982502371665,8,1
D5_full_complete,consensus,precision,MACE-MP,0.36217982502371665,8,1
D5_full_complete,consensus,recall,MACE-MP,0.36217982502371665,8,1
D5_full_complete,consensus,balanced_accuracy,MACE-MP,0.481083301815752,8,1
D5_full_complete,consensus,auroc,MACE-MP,0.4975649371633023,9,1
D5_full_complete,consensus,auprc,MACE-MP,0.38636990805521054,7,1
D5_full_complete,consensus,stable_yield@100,MACE-MP,0.57,7,1
D5_full_complete,consensus,stable_yield@300,MACE-MP,0.47333333333333333,7,1
D5_full_complete,consensus,stable_yield@500,MACE-MP,0.442,7,1
D5_full_complete,consensus,stable_yield@1000,MACE-MP,0.41,8,2
D5_full_complete,consensus,stable_yield@5000,MACE-MP,0.3822,9,1
D5_full_complete,consensus,stable_yield@10000,MACE-MP,0.3629,8,1
D5_full_complete,uncertain,f1,MACE-MP,0.3155080213903743,6,1
D5_full_complete,uncertain,precision,MACE-MP,0.3155080213903743,6,1
D5_full_complete,uncertain,recall,MACE-MP,0.3155080213903743,6,1
D5_full_complete,uncertain,balanced_accuracy,MACE-MP,0.48874450391043056,6,1
D5_full_complete,uncertain,auroc,MACE-MP,0.48321489641278953,8,1
D5_full_complete,uncertain,auprc,MACE-MP,0.32371648326219415,8,1
D5_full_complete,uncertain,stable_yield@100,MACE-MP,0.39,3,1
D5_full_complete,uncertain,stable_yield@300,MACE-MP,0.3933333333333333,3,1
D5_full_complete,uncertain,stable_yield@500,MACE-MP,0.356,4,2
D5_full_complete,uncertain,stable_yield@1000,MACE-MP,0.354,3,1
D5_full_complete,uncertain,stable_yield@5000,MACE-MP,0.3212,8,3
D5_full_complete,uncertain,stable_yield@10000,MACE-MP,0.3191,6,1
D5_full_complete,audit_view,f1,MACE-MP,0.2547696848318752,8,1
D5_full_complete,audit_view,precision,MACE-MP,0.2547696848318752,8,1
D5_full_complete,audit_view,recall,MACE-MP,0.2547696848318752,8,1
D5_full_complete,audit_view,balanced_accuracy,MACE-MP,0.4978122304373437,8,1
D5_full_complete,audit_view,auroc,MACE-MP,0.5060910443606126,7,1
D5_full_complete,audit_view,auprc,MACE-MP,0.2613537946559711,7,1
D5_full_complete,audit_view,stable_yield@100,MACE-MP,0.34,5,1
D5_full_complete,audit_view,stable_yield@300,MACE-MP,0.30333333333333334,7,1
D5_full_complete,audit_view,stable_yield@500,MACE-MP,0.304,8,1
D5_full_complete,audit_view,stable_yield@1000,MACE-MP,0.277,9,2
D5_full_complete,audit_view,stable_yield@5000,MACE-MP,0.2692,8,1
D5_full_complete,audit_view,stable_yield@10000,MACE-MP,0.252,8,1
D5_family_complete,mp_native,f1,ALIGNN-FF,0.3502727151789278,12,4
D5_family_complete,mp_native,precision,ALIGNN-FF,0.3502727151789278,12,4
D5_family_complete,mp_native,recall,ALIGNN-FF,0.3502727151789278,12,4
D5_family_complete,mp_native,balanced_accuracy,ALIGNN-FF,0.4507703156931023,12,4
D5_family_complete,mp_native,auroc,ALIGNN-FF,0.46338782650053,12,4
D5_family_complete,mp_native,auprc,ALIGNN-FF,0.3800404239143464,12,4
D5_family_complete,mp_native,stable_yield@100,ALIGNN-FF,0.52,9,4
D5_family_complete,mp_native,stable_yield@300,ALIGNN-FF,0.4166666666666667,10,4
D5_family_complete,mp_native,stable_yield@500,ALIGNN-FF,0.404,11,4
D5_family_complete,mp_native,stable_yield@1000,ALIGNN-FF,0.404,11,4
D5_family_complete,mp_native,stable_yield@5000,ALIGNN-FF,0.339,12,4
D5_family_complete,mp_native,stable_yield@10000,ALIGNN-FF,0.3412,11,3
D5_family_complete,alexmp20_native,f1,ALIGNN-FF,0.31090225563909774,12,4
D5_family_complete,alexmp20_native,precision,ALIGNN-FF,0.31090225563909774,12,4
D5_family_complete,alexmp20_native,recall,ALIGNN-FF,0.31090225563909774,12,4
D5_family_complete,alexmp20_native,balanced_accuracy,ALIGNN-FF,0.4604677221519461,12,4
D5_family_complete,alexmp20_native,auroc,ALIGNN-FF,0.47078815880651337,12,4
D5_family_complete,alexmp20_native,auprc,ALIGNN-FF,0.33506030471085,12,4
D5_family_complete,alexmp20_native,stable_yield@100,ALIGNN-FF,0.35,10,3
D5_family_complete,alexmp20_native,stable_yield@300,ALIGNN-FF,0.2633333333333333,12,4
D5_family_complete,alexmp20_native,stable_yield@500,ALIGNN-FF,0.268,12,4
D5_family_complete,alexmp20_native,stable_yield@1000,ALIGNN-FF,0.323,12,4
D5_family_complete,alexmp20_native,stable_yield@5000,ALIGNN-FF,0.2966,12,4
D5_family_complete,alexmp20_native,stable_yield@10000,ALIGNN-FF,0.3052,12,4
