threshold_meV_per_atom,model_name,coordinate_endpoint,n,positive_n,positive_rate_pi,auroc,ap,normalized_ap,ranking_estimand
0,ALIGNN-FF,mp_source_coordinate,36650,15001,0.4093042291950887,0.6986879043083118,0.6037186689277569,0.3291278680863916,batch_relative_transductive_signed_reference_hull_margin
0,ALIGNN-FF,alexmp20_source_coordinate,36650,13266,0.3619645293315143,0.6836461486175731,0.5320590265508047,0.2665909734471002,batch_relative_transductive_signed_reference_hull_margin
0,ALIGNN-FF,alex_pbe_source_coordinate,36650,12148,0.3314597544338336,0.6804932070351444,0.4893045948977323,0.2361037222676471,batch_relative_transductive_signed_reference_hull_margin
0,ALIGNN-FF,mp_matched_pool_coordinate,36650,17844,0.4868758526603001,0.7262946555996918,0.7320736338052642,0.4778527426865326,batch_relative_transductive_signed_reference_hull_margin
0,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,19985,0.545293315143247,0.7373825133326442,0.7880457201701354,0.5338659252466524,batch_relative_transductive_signed_reference_hull_margin
0,CHGNet,mp_source_coordinate,36650,15001,0.4093042291950887,0.8312853034149887,0.7207886293073426,0.5273178097886325,batch_relative_transductive_signed_reference_hull_margin
0,CHGNet,alexmp20_source_coordinate,36650,13266,0.3619645293315143,0.8121478313241017,0.6449519371429996,0.4435292719932832,batch_relative_transductive_signed_reference_hull_margin
0,CHGNet,alex_pbe_source_coordinate,36650,12148,0.3314597544338336,0.802429986496637,0.5953829447051018,0.394775321338747,batch_relative_transductive_signed_reference_hull_margin
0,CHGNet,mp_matched_pool_coordinate,36650,17844,0.4868758526603001,0.8721105620900654,0.863535614324779,0.734051912421735,batch_relative_transductive_signed_reference_hull_margin
0,CHGNet,alex_pbe_matched_pool_coordinate,36650,19985,0.545293315143247,0.9107044835081456,0.9282036052916228,0.8421039384301219,batch_relative_transductive_signed_reference_hull_margin
0,M3GNet,mp_source_coordinate,36650,15001,0.4093042291950887,0.80188070760639,0.7034638263510062,0.4979883244382825,batch_relative_transductive_signed_reference_hull_margin
0,M3GNet,alexmp20_source_coordinate,36650,13266,0.3619645293315143,0.7844499101879132,0.6298610124049151,0.4198770999247407,batch_relative_transductive_signed_reference_hull_margin
0,M3GNet,alex_pbe_source_coordinate,36650,12148,0.3314597544338336,0.7766741344009952,0.5840943399225955,0.3778898685071882,batch_relative_transductive_signed_reference_hull_margin
0,M3GNet,mp_matched_pool_coordinate,36650,17844,0.4868758526603001,0.8363001624582271,0.8361677429338816,0.6807161426420696,batch_relative_transductive_signed_reference_hull_margin
0,M3GNet,alex_pbe_matched_pool_coordinate,36650,19985,0.545293315143247,0.8678632646852376,0.8998617235704045,0.7797739075220717,batch_relative_transductive_signed_reference_hull_margin
0,MACE-MP,mp_source_coordinate,36650,15001,0.4093042291950887,0.8672573798481336,0.759751245816223,0.5932783573913147,batch_relative_transductive_signed_reference_hull_margin
0,MACE-MP,alexmp20_source_coordinate,36650,13266,0.3619645293315143,0.8489539935612578,0.6871462750408757,0.5096609211532711,batch_relative_transductive_signed_reference_hull_margin
0,MACE-MP,alex_pbe_source_coordinate,36650,12148,0.3314597544338336,0.8419048640892332,0.640328505679265,0.4620047234162543,batch_relative_transductive_signed_reference_hull_margin
0,MACE-MP,mp_matched_pool_coordinate,36650,17844,0.4868758526603001,0.8982317890146664,0.8885254935934132,0.7827533414973195,batch_relative_transductive_signed_reference_hull_margin
0,MACE-MP,alex_pbe_matched_pool_coordinate,36650,19985,0.545293315143247,0.9370025028522369,0.9529643258216552,0.8965582083026499,batch_relative_transductive_signed_reference_hull_margin
